2026-07-10 14:55:47 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:48 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:49 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:50 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:52 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:53 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:54 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:55 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:56 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:57 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:58 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:59 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:00 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:00 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:56:00 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:56:01 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:02 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:03 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:04 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:05 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:06 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:07 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:08 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:56:08 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 14:56:08 INFO    [AUTH] Session created for admin: 9864e3a3...
2026-07-10 14:56:08 INFO    [BROKER] New connection from ('127.0.0.1', 49531)
2026-07-10 14:56:08 INFO    [AUTH] Session created for admin: 9f230274...
2026-07-10 14:56:08 INFO    [BROKER] Client trusted: observer_screen (user=admin, role=admin)
2026-07-10 14:56:08 INFO    [BROKER] Handshake from 'observer_screen' — pub=[], sub=['patient_vitals', 'system_status', 'connection_status', 'robot_telemetry', 'alerts']
2026-07-10 14:56:08 INFO    [BROKER] 'observer_screen' subscribed to ['patient_vitals', 'robot_telemetry', 'alerts', 'system_status', 'connection_status']
2026-07-10 14:56:09 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:10 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:11 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:12 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:13 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:14 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:15 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:16 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:17 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:18 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:19 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:20 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:21 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:22 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:23 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:24 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:25 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:26 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:27 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:28 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:29 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:30 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:31 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:32 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
